"",log2FC,lfcSE,Pvalues,FDR
GGB31835_SGB45211,-2.4982,2.2207,0.26059,0.76408
GGB28387_SGB40967,-1.8142,1.6171,0.26189,0.76408
Adlercreutzia_muris,-0.67656,0.61181,0.2688,0.77623
GGB28437_SGB41020,-3.1522,2.8856,0.27466,0.78059
GGB30286_SGB43248,-0.57311,0.52754,0.27731,0.78059
bacterium_1XD8_76,1.6088,1.5006,0.28366,0.78059
GGB28960_SGB41669,1.4785,1.3807,0.28427,0.78059
GGB31256_SGB44562,-1.6682,1.5588,0.28455,0.78059
GGB28950_SGB41657,2.6706,2.5075,0.28686,0.78059
GGB29002_SGB41718,-0.55991,0.53611,0.2963,0.78683
GGB24148_SGB35952,0.52399,0.50187,0.29645,0.78683
GGB30145_SGB43072,-0.81706,0.79007,0.30106,0.78683
bacterium_1xD42_62,-0.74886,0.72567,0.30209,0.78683
GGB28769_SGB41421,0.83607,0.81401,0.30437,0.78683
GGB30457_SGB43523,-0.58724,0.57348,0.30583,0.78683
GGB28955_SGB41663,-0.75544,0.74668,0.31167,0.79441
GGB31179_SGB44472,0.79459,0.78982,0.3144,0.79441
Enterorhabdus_sp_P55,-0.36063,0.36596,0.3244,0.81243
GGB28419_SGB41002,-2.0452,2.1125,0.33298,0.82632
GGB30457_SGB43521,-1.1909,1.2372,0.33578,0.82632
Lachnospiraceae_bacterium_A4,-1.2628,1.3249,0.34052,0.83075
GGB30466_SGB43541,-0.59402,0.63168,0.34702,0.83239
Muribaculum_intestinale,0.60522,0.64799,0.3503,0.83239
GGB24149_SGB35953,0.49541,0.53359,0.35317,0.83239
Romboutsia_ilealis,2.672,2.8854,0.35441,0.83239
GGB29003_SGB41719,2.1659,2.3461,0.3559,0.83239
GGB31851_SGB45230,-0.90037,0.9953,0.36567,0.84278
GGB28911_SGB41605,2.5841,2.8855,0.37049,0.84278
bacterium_1XD21_13,-0.42708,0.4777,0.37131,0.84278
GGB28411_SGB40993,-0.64218,0.71972,0.37225,0.84278
GGB29622_SGB42426,1.4122,1.6074,0.37963,0.84371
Acutalibacter_sp_1XD8_36,0.6395,0.73119,0.38179,0.84371
GGB28864_SGB41535,1.0063,1.1529,0.38275,0.84371
GGB28422_SGB41005,-1.7265,1.9923,0.38617,0.84371
GGB25052_SGB36974,0.72723,0.84166,0.38757,0.84371
GGB28883_SGB41564,-2.4687,2.8854,0.39223,0.84733
GGB30448_SGB43502,0.89689,1.0657,0.4,0.8534
GGB28763_SGB41411,2.4231,2.8856,0.40107,0.8534
GGB28887_SGB41568,2.4008,2.8855,0.4054,0.85619
Firmicutes_bacterium_ASF500,-0.81102,0.98218,0.40896,0.85729
GGB28949_SGB41656,0.7992,0.98093,0.41522,0.86403
GGB30448_SGB43504,0.53467,0.66958,0.42457,0.87131
GGB28402_SGB40984,-2.3025,2.8854,0.42488,0.87131
GGB28784_SGB41437,-2.2584,2.8856,0.43384,0.8724
bacterium_0_1xD8_82,0.43111,0.55979,0.44122,0.8724
GGB28330_SGB40904,-1.2401,1.6142,0.44233,0.8724
GGB30302_SGB43266,-1.5355,2.0105,0.44503,0.8724
GGB28793_SGB41446,1.5103,1.9788,0.44534,0.8724
GGB31701_SGB45057,0.36749,0.4864,0.44992,0.8724
Akkermansia_muciniphila,-2.1709,2.8854,0.45182,0.8724
Candidatus_Arthromitus_sp_SFB_mouse,1.9809,2.6499,0.45473,0.8724
Duncaniella_freteri,0.41656,0.55809,0.45543,0.8724
GGB28853_SGB41521,0.71799,0.96367,0.45624,0.8724
bacterium_1xD42_67,-1.0442,1.4288,0.46487,0.88075
GGB1503_SGB2082,-1.5724,2.1609,0.46683,0.88075
GGB28791_SGB41444,0.66069,0.91687,0.47116,0.88303
GGB28869_SGB41543,1.3314,1.8646,0.47521,0.88476
GGB29001_SGB41717,0.51823,0.7315,0.47867,0.88538
GGB28888_SGB41569,-0.53226,0.76384,0.48592,0.89296
GGB30091_SGB43003,-0.85278,1.2509,0.4954,0.90311
GGB28916_SGB41612,-1.956,2.8854,0.49783,0.90311
GGB28404_SGB40986,0.92159,1.3727,0.50199,0.90437
GGB31841_SGB45219,1.0315,1.5491,0.50551,0.90437
GGB42344_SGB59512,-1.7863,2.7278,0.51256,0.90437
Muribaculaceae_bacterium,-0.32299,0.49688,0.51566,0.90437
GGB28398_SGB40979,-1.7494,2.6984,0.51678,0.90437
GGB28963_SGB41672,0.82207,1.2708,0.5177,0.90437
Lachnospiraceae_bacterium_10_1,-0.44373,0.69579,0.52364,0.90915
Muribaculum_gordoncarteri,-0.39455,0.6421,0.53891,0.91129
GGB30303_SGB43268,0.73625,1.2055,0.54138,0.91129
GGB28904_SGB41596,-0.76175,1.2568,0.54445,0.91129
GGB28894_SGB41575,1.1952,1.9826,0.54664,0.91129
GGB30461_SGB43530,1.738,2.8854,0.54696,0.91129
GGB30445_SGB43494,1.7231,2.8855,0.55039,0.91129
Odoribacter_sp_Z80,0.18541,0.31171,0.55197,0.91129
GGB30475_SGB63182,-0.41246,0.6997,0.55554,0.91129
GGB28927_SGB41625,0.32522,0.55514,0.55798,0.91129
GGB28802_SGB41455,-1.0881,1.891,0.56502,0.91129
GGB30301_SGB43265,-0.40676,0.70748,0.56532,0.91129
GGB30451_SGB43508,-0.40805,0.71046,0.56573,0.91129
GGB28841_SGB41505,-0.80627,1.4074,0.56674,0.91129
GGB28428_SGB41011,-0.47727,0.87336,0.58474,0.92059
GGB30142_SGB43067,-0.37915,0.69508,0.58542,0.92059
Paramuribaculum_intestinale,-0.28785,0.52932,0.58657,0.92059
GGB33432_SGB65123,1.1154,2.0568,0.58762,0.92059
bacterium_1XD21_70,1.5624,2.8901,0.58879,0.92059
GGB31850_SGB45228,1.0961,2.0647,0.59551,0.92598
GGB28433_SGB41016,-0.60563,1.1926,0.61159,0.93512
Parasutterella_sp_NM82_D38,0.39077,0.77018,0.61189,0.93512
GGB28835_SGB41494,-1.4637,2.8854,0.61196,0.93512
GGB30461_SGB43533,0.42325,0.8498,0.61845,0.93512
GGB31822_SGB45198,0.76639,1.5389,0.61847,0.93512
GGB27914_SGB40352,-0.57489,1.166,0.62197,0.93512
Lachnospiraceae_bacterium_MD335,1.3528,2.7639,0.62452,0.93512
GGB28831_SGB41487,0.36729,0.78949,0.64177,0.94577
bacterium_1xD8_48,-0.58223,1.2562,0.64302,0.94577
GGB28392_SGB40972,1.3204,2.8854,0.64723,0.94577
GGB28786_SGB41439,1.0524,2.3118,0.64893,0.94577
GGB28870_SGB41545,0.31112,0.68883,0.65151,0.94577
GGB27849_SGB40283,-0.25823,0.57474,0.65321,0.94577
GGB29004_SGB41721,1.0456,2.3401,0.65502,0.94577
GGB30473_SGB43557,0.12656,0.28825,0.66062,0.94842
Turicimonas_muris,-0.62237,1.436,0.66472,0.94842
GGB28682_SGB41310,1.2418,2.8854,0.66691,0.94842
GGB28968_SGB41679,-0.21375,0.52057,0.68136,0.96349
GGB30448_SGB43503,0.61049,1.5107,0.68613,0.96349
Duncaniella_muris,-0.53703,1.3438,0.68943,0.96349
GGB28416_SGB40998,-0.85819,2.2005,0.69654,0.96349
GGB28893_SGB41574,-0.38428,0.99119,0.69824,0.96349
GGB28934_SGB41635,0.46032,1.2484,0.71234,0.96349
Dorea_sp_5_2,0.65448,1.7803,0.71315,0.96349
GGB28870_SGB41546,0.82176,2.247,0.71457,0.96349
GGB30297_SGB43261,0.25382,0.6951,0.71499,0.96349
GGB28901_SGB41592,1.0049,2.8093,0.72056,0.96349
bacterium_1XD42_76,0.59738,1.6734,0.72111,0.96349
GGB42579_SGB59774,1.0233,2.8855,0.72287,0.96349
GGB28924_SGB41621,-0.43047,1.2177,0.72371,0.96349
GGB31312_SGB44628,-0.37976,1.0802,0.72517,0.96349
GGB28399_SGB40980,-0.6755,2.0293,0.73923,0.96841
GGB30459_SGB43525,-0.33635,1.0542,0.74967,0.96841
GGB28356_SGB40934,0.91088,2.8854,0.75225,0.96841
GGB30454_SGB43516,-0.18916,0.62521,0.76222,0.96841
GGB30461_SGB63209,-0.15161,0.50468,0.76387,0.96841
GGB24146_SGB35950,-0.15896,0.53883,0.76799,0.96841
Duncaniella_dubosii,0.20491,0.69481,0.76806,0.96841
bacterium_1xD8_6,0.66941,2.2998,0.77099,0.96841
GGB28782_SGB41435,-0.75155,2.6248,0.77463,0.96841
GGB31438_SGB44768,0.14642,0.51882,0.77777,0.96841
GGB28798_SGB41451,-0.61303,2.179,0.77845,0.96841
GGB30460_SGB43526,-0.13297,0.4761,0.78003,0.96841
GGB27480_SGB39776,0.5427,1.9452,0.78025,0.96841
GGB30444_SGB43493,0.76708,2.7566,0.78081,0.96841
GGB28946_SGB41652,0.70646,2.6117,0.78678,0.96841
GGB28870_SGB41549,0.70358,2.6257,0.78873,0.96841
Acutalibacter_muris,0.17382,0.65782,0.7916,0.96841
GGB30466_SGB43546,-0.17922,0.69645,0.79692,0.96841
GGB28394_SGB40974,0.36943,1.4531,0.79931,0.96841
GGB30413_SGB43452,-0.52413,2.0742,0.8005,0.96841
bacterium_1xD42_87,-0.69174,2.8855,0.81054,0.96841
GGB28903_SGB41594,-0.1789,0.74977,0.81141,0.96841
GGB42619_SGB59815,0.47768,2.0412,0.81497,0.96841
GGB28991_SGB41705,-0.57761,2.4991,0.81722,0.96841
GGB31184_SGB44478,-0.19308,0.8748,0.82532,0.96841
Turicibacter_sp_TS3,0.30865,1.4095,0.82667,0.96841
Clostridium_cocleatum,0.45406,2.1392,0.8319,0.96841
GGB28386_SGB40966,0.23348,1.1054,0.83271,0.96841
GGB30296_SGB43260,-0.26804,1.2775,0.83381,0.96841
GGB29531_SGB42317,0.068944,0.33577,0.83731,0.96841
Adlercreutzia_mucosicola,-0.071151,0.34697,0.83752,0.96841
GGB28766_SGB41416,0.53165,2.6065,0.83838,0.96841
bacterium_J10_2018,-0.53978,2.8854,0.8516,0.97732
GGB31439_SGB44769,-0.1075,0.58015,0.853,0.97732
GGB30302_SGB43267,-0.11875,0.66557,0.85839,0.97953
GGB27872_SGB40306,-0.085403,0.58501,0.88393,0.99096
GGB28805_SGB41459,-0.35674,2.4785,0.88555,0.99096
GGB27866_SGB40300,0.064758,0.45482,0.88678,0.99096
GGB31838_SGB45216,-0.39873,2.8854,0.89009,0.99096
GGB28632_SGB41253,0.37592,2.8856,0.89635,0.99096
bacterium_D16_29,-0.099694,0.78077,0.8984,0.99096
GGB29009_SGB41729,0.17289,1.3716,0.89969,0.99096
bacterium_1XD42_1,0.10995,0.92552,0.90543,0.99096
GGB27861_SGB40295,-0.064466,0.55525,0.90757,0.99096
GGB28836_SGB41496,0.31962,2.8854,0.9118,0.99096
Acetatifactor_muris,0.23346,2.1978,0.91541,0.99096
bacterium_D16_76,-0.088122,0.83175,0.91562,0.99096
GGB31109_SGB44380,-0.0734,0.74252,0.92126,0.99096
GGB31851_SGB45231,-0.22365,2.2696,0.9215,0.99096
Oscillibacter_sp_1_3,0.25314,2.6334,0.92342,0.99096
GGB30300_SGB43264,0.25108,2.8855,0.93066,0.99096
GGB28828_SGB41484,0.15223,1.78,0.93185,0.99096
GGB28949_SGB41655,0.18466,2.1624,0.93195,0.99096
GGB31440_SGB44770,-0.10039,1.2756,0.93727,0.99096
GGB28996_SGB41712,0.12915,1.7335,0.94061,0.99096
GGB42586_SGB59781,-0.090739,1.3632,0.94693,0.99096
Clostridiales_bacterium,0.047094,0.8643,0.95655,0.99096
GGB31108_SGB44379,-0.047541,0.91006,0.95834,0.99096
Bacteroides_acidifaciens,-0.035068,0.69476,0.95974,0.99096
GGB28645_SGB41268,-0.096616,2.0458,0.96233,0.99096
GGB30290_SGB43252,0.045281,1.0016,0.96394,0.99096
GGB28930_SGB41631,0.02269,0.5418,0.9666,0.99096
Lachnospiraceae_bacterium_WCA_9_b2,0.10741,2.8854,0.97031,0.99096
Schaedlerella_arabinosiphila,-0.081272,2.3702,0.97265,0.99096
GGB30466_SGB43544,0.043258,1.5822,0.97819,0.99096
GGB28379_SGB40959,-0.027105,1.0262,0.97893,0.99096
GGB30048_SGB42949,-0.016081,0.65653,0.98046,0.99096
GGB30449_SGB43506,0.010989,2.8854,0.99696,0.9996
GGB28988_SGB41701,0.0020038,2.1809,0.99927,0.9996
Lachnospiraceae_bacterium_MD329,0.0014156,2.844,0.9996,0.9996
Corynebacterium_stationis,,,,
Facklamia_tabacinasalis,,,,
GGB28382_SGB40962,,,,
GGB28431_SGB41014,,,,
GGB28851_SGB41518,,,,
GGB28856_SGB41525,,,,
GGB28859_SGB41528,,,,
GGB28860_SGB41529,,,,
GGB28875_SGB41555,,,,
GGB28897_SGB41579,,,,
GGB29468_SGB42247,,,,
