"",log2FC,lfcSE,Pvalues,FDR
GGB28934_SGB41635,-1.8416,1.2617,0.1444,0.75425
GGB28779_SGB41432,-1.5415,1.0605,0.14607,0.75425
Romboutsia_ilealis,3.2821,2.2746,0.14903,0.75581
GGB28769_SGB41421,-2.2995,1.6249,0.15702,0.75966
GGB28926_SGB41623,1.0289,0.73448,0.16126,0.75966
GGB28845_SGB41512,-2.3871,1.709,0.16247,0.75966
GGB31179_SGB44472,1.5059,1.0872,0.16602,0.75966
GGB28392_SGB40972,-3.9781,2.8857,0.16802,0.75966
GGB24146_SGB35950,-0.83665,0.60753,0.16847,0.75966
GGB31438_SGB44768,-1.2409,0.90587,0.17073,0.75966
Schaedlerella_arabinosiphila,3.1441,2.2976,0.17119,0.75966
GGB27892_SGB40326,-0.8161,0.6118,0.18222,0.77704
GGB28802_SGB41455,-3.1537,2.3788,0.18491,0.77704
GGB27861_SGB40295,-0.78613,0.59319,0.18508,0.77704
GGB25052_SGB36974,1.7367,1.314,0.18629,0.77704
GGB30466_SGB43541,0.99927,0.76093,0.18911,0.77704
GGB24102_SGB35895,-0.97923,0.74975,0.19152,0.77704
GGB42598_SGB59794,-3.7288,2.8854,0.19625,0.77819
GGB28852_SGB41519,1.3783,1.069,0.19729,0.77819
bacterium_1XD42_76,1.806,1.4523,0.21367,0.83127
GGB30466_SGB43540,2.1608,1.8278,0.23714,0.88075
GGB27849_SGB40283,-1.0075,0.85727,0.23989,0.88075
bacterium_1XD42_54,-2.4416,2.0809,0.24065,0.88075
Duncaniella_freteri,-0.77758,0.66324,0.24104,0.88075
GGB27885_SGB40319,1.056,0.90235,0.2419,0.88075
GGB30147_SGB43074,-1.7329,1.4957,0.24664,0.88665
GGB28766_SGB41417,-1.039,0.91378,0.25553,0.90712
GGB28894_SGB41575,-2.4413,2.2112,0.26957,0.94515
GGB3171_SGB4185,3.0813,2.8856,0.2856,0.98914
GGB28399_SGB40980,-2.5868,2.5399,0.30846,0.99024
GGB28887_SGB41568,2.9347,2.8854,0.30911,0.99024
Adlercreutzia_mucosicola,0.519,0.51172,0.31048,0.99024
GGB30460_SGB43526,1.2927,1.2966,0.31875,0.99024
GGB28818_SGB41473,1.2401,1.2479,0.32033,0.99024
GGB28911_SGB41605,-2.8586,2.8856,0.32186,0.99024
Adlercreutzia_caecimuris,-0.62385,0.63012,0.32215,0.99024
GGB31835_SGB45211,2.1828,2.2552,0.33309,0.99024
GGB30457_SGB43521,-1.7477,1.8807,0.35275,0.99024
GGB28903_SGB41594,-1.1741,1.266,0.35371,0.99024
GGB28949_SGB41655,2.232,2.4382,0.35996,0.99024
Lactobacillus_taiwanensis,0.99971,1.0938,0.36074,0.99024
GGB42619_SGB59815,-2.0268,2.2782,0.37365,0.99024
Lachnospiraceae_bacterium,0.61094,0.68732,0.37407,0.99024
Neglecta_sp_X4,1.6863,1.9046,0.37595,0.99024
GGB28394_SGB40974,-1.9507,2.2096,0.37733,0.99024
GGB31851_SGB45231,2.3265,2.6599,0.38175,0.99024
GGB30454_SGB43514,-1.0723,1.2345,0.38505,0.99024
GGB28904_SGB41597,0.64503,0.74292,0.38527,0.99024
GGB28864_SGB41535,-0.97673,1.1301,0.38745,0.99024
GGB28621_SGB41239,0.79899,0.9248,0.38761,0.99024
GGB27893_SGB40327,0.69961,0.80996,0.38772,0.99024
GGB31853_SGB45233,-1.671,1.9738,0.39721,0.99024
GGB28402_SGB40984,2.4249,2.8854,0.40069,0.99024
GGB29683_SGB42492,2.4088,2.8854,0.40381,0.99024
GGB28841_SGB41505,1.0247,1.2433,0.40986,0.99024
GGB30461_SGB43527,2.3672,2.8855,0.412,0.99024
GGB24149_SGB35953,-0.56399,0.68845,0.41266,0.99024
GGB30091_SGB43003,1.1388,1.4218,0.42316,0.99024
GGB24148_SGB35952,-0.66041,0.82595,0.42396,0.99024
Duncaniella_dubosii,-0.73009,0.91744,0.42615,0.99024
GGB28409_SGB40991,-1.1983,1.5107,0.42765,0.99024
Clostridiales_bacterium,-1.4153,1.8034,0.43258,0.99024
GGB28310_SGB40880,0.76972,0.98148,0.4329,0.99024
GGB30286_SGB43248,0.5767,0.73651,0.43362,0.99024
Turicimonas_muris,1.1036,1.411,0.4341,0.99024
GGB42344_SGB59512,-2.252,2.8856,0.43515,0.99024
bacterium_D16_63,-1.0526,1.3544,0.43706,0.99024
GGB28879_SGB41559,-1.9907,2.5855,0.44134,0.99024
GGB31439_SGB44769,-0.90886,1.1844,0.44286,0.99024
Lachnospiraceae_bacterium_MD335,2.0916,2.7261,0.44293,0.99024
GGB28946_SGB41652,-2.2041,2.8856,0.44496,0.99024
GGB28959_SGB41668,-1.239,1.6494,0.45256,0.99024
GGB28418_SGB41001,2.1477,2.8859,0.45675,0.99024
GGB29006_SGB41724,2.1445,2.8854,0.45734,0.99024
GGB28805_SGB41459,1.4485,1.9522,0.45811,0.99024
GGB28956_SGB41665,-0.87966,1.1879,0.45899,0.99024
GGB24132_SGB35935,-0.56151,0.78462,0.47421,0.99024
Enterorhabdus_sp_P55,0.42331,0.59745,0.47861,0.99024
Muribaculaceae_bacterium,-0.4267,0.60477,0.48046,0.99024
GGB28437_SGB41020,1.9406,2.8856,0.50125,0.99024
GGB28790_SGB41443,1.2795,1.9053,0.50186,0.99024
GGB30413_SGB43452,-1.7651,2.6546,0.5061,0.99024
GGB28873_SGB41553,-1.5834,2.4063,0.51052,0.99024
GGB28645_SGB41268,-1.4529,2.2136,0.51159,0.99024
Atopobiaceae_bacterium_FL090493,-0.74821,1.1425,0.51254,0.99024
GGB28428_SGB41011,-1.0972,1.6777,0.51312,0.99024
GGB28861_SGB41531,-0.78733,1.2159,0.51727,0.99024
GGB31701_SGB45057,-0.75073,1.1596,0.51736,0.99024
GGB31109_SGB44380,-0.58637,0.90901,0.51889,0.99024
GGB28950_SGB41657,-1.4408,2.236,0.51933,0.99024
Akkermansia_muciniphila,1.8541,2.8854,0.5205,0.99024
GGB28419_SGB41002,-1.8415,2.8854,0.52333,0.99024
GGB28835_SGB41494,1.8309,2.8854,0.52573,0.99024
bacterium_J10_2018,-1.7842,2.8854,0.53634,0.99024
GGB28893_SGB41574,-0.81393,1.3175,0.53671,0.99024
GGB27782_SGB40196,-0.55129,0.89673,0.5387,0.99024
GGB28404_SGB40986,-1.2371,2.0194,0.54014,0.99024
GGB30448_SGB43503,-1.0965,1.8445,0.55218,0.99024
GGB14001_SGB21428,-0.46827,0.79239,0.55455,0.99024
GGB28791_SGB41444,-0.7062,1.2011,0.55658,0.99024
Duncaniella_muris,0.7916,1.3506,0.5578,0.99024
bacterium_1XD8_76,-1.1589,1.9867,0.55969,0.99024
GGB28888_SGB41569,0.51577,0.8897,0.56211,0.99024
GGB30445_SGB43494,-1.6631,2.8855,0.56437,0.99024
GGB28839_SGB41503,-1.2088,2.1177,0.56812,0.99024
GGB28765_SGB41415,0.91924,1.6164,0.56956,0.99024
GGB28632_SGB41253,1.6377,2.8855,0.57033,0.99024
Eggerthellaceae_bacterium,0.30376,0.53861,0.57278,0.99024
GGB30303_SGB43268,0.88174,1.5806,0.57694,0.99024
Turicibacter_sp_TS3,-0.83019,1.504,0.58096,0.99024
GGB33432_SGB65123,0.48953,0.90354,0.58796,0.99024
GGB28836_SGB41496,1.5404,2.8854,0.59344,0.99024
GGB27872_SGB40306,-0.38392,0.72199,0.5949,0.99024
GGB28411_SGB40993,0.707,1.3375,0.59707,0.99024
GGB30448_SGB43502,-0.63551,1.2221,0.60305,0.99024
Limosilactobacillus_reuteri,0.54792,1.06,0.60522,0.99024
GGB28881_SGB41561,-0.60589,1.1809,0.60788,0.99024
GGB31850_SGB45228,-1.4227,2.8008,0.61149,0.99024
GGB28924_SGB41621,-0.79152,1.5793,0.61623,0.99024
GGB28398_SGB40979,-1.4453,2.8854,0.61645,0.99024
GGB30461_SGB43531,1.1121,2.2409,0.6197,0.99024
GGB28901_SGB41592,-1.1631,2.3596,0.62206,0.99024
GGB28930_SGB41631,-0.53324,1.0852,0.62315,0.99024
GGB31184_SGB44478,0.53549,1.1127,0.63033,0.99024
bacterium_D16_76,-0.43512,0.90961,0.6324,0.99024
GGB28798_SGB41451,-1.3595,2.8854,0.63752,0.99024
bacterium_1XD21_70,1.355,2.8872,0.63885,0.99024
GGB28379_SGB40959,-0.80414,1.7163,0.6394,0.99024
GGB30408_SGB43438,-0.32103,0.70056,0.64677,0.99024
GGB31312_SGB44628,-0.45336,1.0008,0.65056,0.99024
Lachnospiraceae_bacterium_10_1,0.33546,0.76742,0.66202,0.99024
Lachnospiraceae_bacterium_WCA_9_b2,-1.2554,2.8855,0.6635,0.99024
GGB28416_SGB40998,1.209,2.8224,0.6684,0.99024
GGB30290_SGB43252,0.59039,1.3962,0.67239,0.99024
bacterium_1XD42_1,-0.68133,1.6445,0.67864,0.99024
GGB28781_SGB41434,1.1943,2.8854,0.67895,0.99024
GGB30302_SGB43266,0.8979,2.2057,0.68394,0.99024
Roseburia_sp_1XD42_69,-0.95344,2.3521,0.68522,0.99024
GGB28682_SGB41310,-1.1624,2.8854,0.68704,0.99024
GGB30461_SGB63209,0.48305,1.2176,0.69157,0.99024
GGB27914_SGB40352,-0.62099,1.5837,0.69497,0.99024
GGB30048_SGB42949,0.45967,1.1813,0.69718,0.99024
GGB30466_SGB43544,-0.73044,1.8955,0.69998,0.99024
GGB29005_SGB41723,0.64809,1.6862,0.70072,0.99024
GGB28955_SGB41663,-0.56127,1.4774,0.70402,0.99024
GGB25041_SGB36960,-1.0687,2.8854,0.71111,0.99024
GGB30311_SGB43288,0.69107,1.8673,0.71131,0.99024
GGB31822_SGB45198,-0.56914,1.5382,0.71138,0.99024
GGB28963_SGB41672,0.50836,1.3976,0.71605,0.99024
GGB30461_SGB43533,-0.32501,0.90263,0.7188,0.99024
GGB30302_SGB43267,-0.43563,1.2724,0.73208,0.99024
bacterium_1xD42_62,0.5496,1.6391,0.7374,0.99024
GGB1503_SGB2082,0.72462,2.1625,0.73756,0.99024
GGB28784_SGB41437,0.94422,2.8857,0.74351,0.99024
GGB28433_SGB41016,-0.57325,1.8372,0.75503,0.99024
GGB30301_SGB43265,-0.37488,1.2025,0.75524,0.99024
GGB47127_SGB65054,-0.44454,1.4816,0.76415,0.99024
bacterium_0_1xD8_82,-0.38378,1.2842,0.76506,0.99024
GGB28383_SGB40963,-0.85533,2.8855,0.76691,0.99024
GGB27792_SGB40208,-0.23292,0.80137,0.77132,0.99024
GGB28916_SGB41612,-0.82436,2.8854,0.77511,0.99024
GGB28988_SGB41701,0.81567,2.8625,0.77568,0.99024
GGB31108_SGB44379,-0.45925,1.6365,0.77899,0.99024
GGB28831_SGB41487,-0.3424,1.2209,0.77913,0.99024
GGB27480_SGB39776,-0.79516,2.8855,0.78288,0.99024
Oscillibacter_sp_1_3,-0.61799,2.3297,0.79081,0.99024
Candidatus_Arthromitus_sp_SFB_mouse,-0.74789,2.8854,0.79548,0.99024
GGB29004_SGB41721,-0.72395,2.8854,0.80189,0.99024
GGB30145_SGB43072,-0.20589,0.83281,0.80473,0.99024
Lachnospiraceae_bacterium_MD308,0.38964,1.5877,0.80613,0.99024
GGB29009_SGB41729,0.4533,1.8728,0.80875,0.99024
GGB28991_SGB41705,0.58243,2.4306,0.81062,0.99024
GGB30448_SGB43504,-0.17596,0.75547,0.81583,0.99024
Acutalibacter_muris,-0.36558,1.5803,0.81705,0.99024
GGB28248_SGB40791,0.12784,0.58315,0.82648,0.99024
GGB30300_SGB43264,0.62898,2.8855,0.82745,0.99024
GGB30461_SGB43530,-0.57733,2.6627,0.82835,0.99024
Pseudoflavonifractor_sp_60,-0.33258,1.5364,0.82862,0.99024
GGB28869_SGB41543,0.41154,1.9108,0.82947,0.99024
GGB28883_SGB41564,0.4677,2.2252,0.83353,0.99024
GGB31851_SGB45230,0.23689,1.1292,0.83383,0.99024
bacterium_1xD8_48,0.31494,1.6114,0.84505,0.99024
GGB30142_SGB43067,-0.25292,1.2945,0.84509,0.99024
Parasutterella_sp_NM82_D38,-0.21078,1.0972,0.84766,0.99024
GGB30297_SGB43261,-0.35747,1.8628,0.84782,0.99024
GGB30295_SGB43259,-0.4439,2.3133,0.84783,0.99024
GGB28422_SGB41005,0.43406,2.3085,0.85085,0.99024
Muribaculum_intestinale,-0.13011,0.77342,0.86641,0.99024
GGB28387_SGB40967,-0.42935,2.59,0.86834,0.99024
Lachnospiraceae_bacterium_MD329,0.34176,2.0628,0.86841,0.99024
Acetatifactor_muris,0.30646,1.8627,0.86932,0.99024
GGB28386_SGB40966,-0.28439,1.8493,0.87778,0.99024
GGB29531_SGB42317,0.095893,0.6295,0.87892,0.99024
Muribaculum_gordoncarteri,-0.12297,0.81405,0.87993,0.99024
bacterium_1xD42_67,0.27346,1.8178,0.88042,0.99024
GGB30475_SGB63182,0.16899,1.1271,0.88082,0.99024
GGB30449_SGB43506,0.42957,2.8854,0.88165,0.99024
GGB31841_SGB45219,0.2891,1.9588,0.88267,0.99024
GGB27890_SGB40324,-0.16674,1.1691,0.88659,0.99024
GGB28772_SGB41425,-0.26979,1.9851,0.89189,0.99024
GGB28793_SGB41446,0.31121,2.2978,0.89226,0.99024
Emergencia_sp_1XD21_10,-0.067115,0.49944,0.8931,0.99024
GGB30454_SGB43516,-0.20665,1.584,0.8962,0.99024
GGB28763_SGB41411,-0.36894,2.8855,0.89826,0.99024
GGB28870_SGB41546,-0.2786,2.2149,0.8999,0.99024
GGB27929_SGB40368,-0.092875,0.79104,0.90654,0.99024
Muribaculaceae_bacterium_Isolate_013_NCI,0.15345,1.3273,0.90796,0.99024
GGB28927_SGB41625,0.11776,1.1509,0.91851,0.99024
GGB31256_SGB44562,0.2246,2.2362,0.92,0.99024
Adlercreutzia_caecicola,-0.056616,0.56769,0.92056,0.99024
GGB28960_SGB41669,0.15711,1.7719,0.92935,0.99024
GGB30296_SGB43260,0.16974,1.9816,0.93174,0.99024
GGB28980_SGB41692,-0.1037,1.2559,0.93419,0.99024
GGB30457_SGB43523,-0.045568,0.56348,0.93555,0.99024
GGB30451_SGB43508,-0.098965,1.242,0.93649,0.99024
GGB28828_SGB41484,-0.16979,2.3077,0.94135,0.99024
bacterium_D16_50,0.17556,2.3893,0.94143,0.99024
GGB28330_SGB40904,0.095725,1.4273,0.94653,0.99193
GGB28948_SGB41654,0.07331,1.2173,0.95198,0.99365
Lachnospiraceae_bacterium_A2,-0.086234,1.6857,0.9592,0.99365
bacterium_D16_29,0.058545,1.2599,0.96294,0.99365
GGB28786_SGB41439,0.063431,1.5605,0.96758,0.99365
GGB42579_SGB59774,0.1055,2.8855,0.97083,0.99365
GGB30473_SGB43557,0.016296,0.4577,0.9716,0.99365
GGB14014_SGB21441,0.046644,1.361,0.97266,0.99365
GGB42343_SGB59511,0.016545,1.1251,0.98827,0.99983
GGB28898_SGB41580,-0.019606,2.2223,0.99296,0.99983
GGB30459_SGB43525,0.010548,1.3748,0.99388,0.99983
GGB28904_SGB41596,0.0068433,1.731,0.99685,0.99983
Acutalibacter_sp_1XD8_36,-0.0011379,1.3105,0.99931,0.99983
GGB28870_SGB41545,-0.00024463,1.1617,0.99983,0.99983
GGB28431_SGB41014,,,,
GGB28456_SGB41039,,,,
GGB28792_SGB41445,,,,
GGB28851_SGB41518,,,,
GGB28856_SGB41525,,,,
GGB28859_SGB41528,,,,
GGB28860_SGB41529,,,,
GGB28875_SGB41555,,,,
GGB28897_SGB41579,,,,
Mammaliicoccus_lentus,,,,
