"",log2FC,lfcSE,Pvalues,FDR
Lachnospiraceae_bacterium_WCA_9_b2,-2.4507,2.2067,0.26676,0.72933
GGB30091_SGB43003,1.5718,1.417,0.26731,0.72933
GGB30408_SGB43438,-0.80375,0.72932,0.27044,0.72933
GGB31822_SGB45198,-1.7086,1.5579,0.27278,0.72933
bacterium_1XD8_76,-1.7547,1.6342,0.28293,0.74102
Acetatifactor_muris,-1.4202,1.3285,0.28504,0.74102
GGB28916_SGB41612,-2.354,2.2059,0.28591,0.74102
GGB28864_SGB41535,-1.7286,1.6409,0.29213,0.74952
GGB28769_SGB41421,-1.622,1.5599,0.29842,0.758
GGB31835_SGB45211,1.0788,1.0566,0.30723,0.77263
GGB30297_SGB43261,2.6393,2.6078,0.3115,0.77569
GGB28419_SGB41002,-2.872,2.8854,0.31957,0.77953
GGB31439_SGB44769,-1.1554,1.1734,0.32477,0.77953
GGB30445_SGB43494,-2.1543,2.2085,0.32934,0.77953
GGB31851_SGB45230,1.1445,1.1799,0.33206,0.77953
GGB30142_SGB43067,1.271,1.3108,0.33222,0.77953
Parasutterella_sp_NM82_D38,0.99098,1.03,0.33599,0.77953
GGB28949_SGB41655,1.7466,1.8174,0.33652,0.77953
Schaedlerella_arabinosiphila,1.5219,1.5951,0.34001,0.77953
GGB28924_SGB41621,-1.1419,1.2032,0.3426,0.77953
GGB30451_SGB43508,1.145,1.2093,0.34373,0.77953
GGB28901_SGB41592,-2.1062,2.2942,0.3586,0.79815
GGB28883_SGB41564,-2.0687,2.2549,0.35892,0.79815
GGB28433_SGB41016,-1.4563,1.5955,0.36137,0.79815
GGB14014_SGB21441,1.1446,1.2713,0.36795,0.80569
GGB30413_SGB43452,-1.7218,1.9342,0.37336,0.8064
GGB1503_SGB2082,-1.2028,1.3548,0.37463,0.8064
GGB28828_SGB41484,-1.4676,1.6865,0.38419,0.82004
GGB31701_SGB45057,-0.9945,1.1669,0.39408,0.82821
GGB28955_SGB41663,-1.2419,1.462,0.39563,0.82821
GGB28988_SGB41701,1.495,1.8324,0.41457,0.82821
bacterium_D16_76,-0.56997,0.69894,0.4148,0.82821
GGB30444_SGB43493,-2.1879,2.6858,0.41529,0.82821
GGB24102_SGB35895,-0.64469,0.79573,0.41783,0.82821
GGB28248_SGB40791,-0.56025,0.69885,0.42275,0.82821
GGB14001_SGB21428,0.66278,0.83257,0.42599,0.82821
GGB30461_SGB63209,0.9448,1.2112,0.43535,0.82821
GGB28790_SGB41443,-1.6916,2.177,0.43715,0.82821
Neglecta_sp_X4,1.2299,1.586,0.43809,0.82821
GGB27480_SGB39776,-2.0027,2.6516,0.45007,0.82821
GGB27849_SGB40283,0.70601,0.93761,0.45146,0.82821
GGB30461_SGB43533,0.69202,0.92264,0.45323,0.82821
GGB28959_SGB41668,-1.201,1.6069,0.45481,0.82821
GGB28411_SGB40993,1.9357,2.6037,0.45723,0.82821
GGB29005_SGB41723,1.2803,1.7317,0.4597,0.82821
GGB30290_SGB43252,1.1904,1.6221,0.46302,0.82821
GGB30461_SGB43531,1.6612,2.2667,0.46363,0.82821
GGB28330_SGB40904,1.1902,1.6348,0.4666,0.82821
Acutalibacter_muris,-1.1169,1.5556,0.47276,0.82821
GGB28416_SGB40998,1.8821,2.6384,0.47564,0.82821
GGB28836_SGB41496,-1.6003,2.2467,0.47629,0.82821
GGB31850_SGB45228,-1.7071,2.3972,0.47637,0.82821
bacterium_D16_29,-0.88663,1.2456,0.47659,0.82821
GGB28893_SGB41574,-0.90781,1.2836,0.47941,0.82821
Muribaculaceae_bacterium_Isolate_013_NCI,-0.92306,1.3052,0.47942,0.82821
GGB42343_SGB59511,0.83475,1.1812,0.47974,0.82821
GGB28960_SGB41669,1.1521,1.6408,0.48258,0.82821
Acutalibacter_sp_1XD8_36,0.91915,1.3274,0.48867,0.8325
GGB28904_SGB41597,0.5599,0.81415,0.49164,0.8325
GGB30461_SGB43527,1.769,2.6143,0.49862,0.83875
GGB30459_SGB43525,-0.87779,1.328,0.50861,0.84456
GGB28379_SGB40959,1.2723,1.9391,0.51173,0.84456
GGB28927_SGB41625,-0.82295,1.2818,0.52085,0.84456
GGB27876_SGB40310,-0.59873,0.93472,0.52182,0.84456
GGB28888_SGB41569,-0.51472,0.80415,0.52212,0.84456
GGB28870_SGB41545,-0.74385,1.1651,0.52319,0.84456
GGB27914_SGB40352,-0.74946,1.1833,0.52649,0.84456
Lachnospiraceae_bacterium_MD308,-0.76417,1.2129,0.52868,0.84456
GGB28765_SGB41415,1.0548,1.6981,0.53448,0.84802
GGB30286_SGB43248,0.52237,0.84722,0.53752,0.84802
GGB28772_SGB41425,1.3212,2.2209,0.55191,0.86368
GGB30300_SGB43264,-1.1478,1.9486,0.55583,0.86368
GGB28404_SGB40986,-1.1299,1.9385,0.56,0.86368
bacterium_1xD42_62,1.0951,1.9163,0.56767,0.86368
GGB28386_SGB40966,1.2535,2.2675,0.58039,0.86368
GGB28887_SGB41568,1.0727,1.9651,0.58513,0.86368
GGB27861_SGB40295,-0.39709,0.73292,0.58796,0.86368
GGB30449_SGB43506,-1.0523,1.9619,0.5917,0.86368
GGB28409_SGB40991,-0.83711,1.5655,0.59283,0.86368
GGB30147_SGB43074,-0.99569,1.8642,0.59327,0.86368
Paramuribaculum_intestinale,-0.45113,0.84961,0.59543,0.86368
bacterium_1XD42_1,-0.83095,1.5667,0.59585,0.86368
GGB30048_SGB42949,0.82565,1.6205,0.61041,0.86368
GGB47127_SGB65054,-0.78063,1.5555,0.61576,0.86368
Adlercreutzia_mucosicola,0.32649,0.65542,0.61839,0.86368
GGB28383_SGB40963,-1.4339,2.8855,0.61924,0.86368
GGB30301_SGB43265,0.57468,1.1683,0.6228,0.86368
GGB31312_SGB44628,0.45555,0.92615,0.62281,0.86368
GGB28950_SGB41657,1.071,2.1943,0.62548,0.86368
Emergencia_sp_1XD21_10,0.3123,0.64002,0.62558,0.86368
GGB28422_SGB41005,1.126,2.3086,0.62573,0.86368
Lachnospiraceae_bacterium_10_1,0.45922,0.94356,0.62648,0.86368
GGB28818_SGB41473,0.64339,1.3299,0.62854,0.86368
GGB28904_SGB41596,-0.65429,1.4143,0.64364,0.86368
GGB31851_SGB45231,1.0672,2.3143,0.64471,0.86368
GGB28831_SGB41487,0.58222,1.2629,0.64477,0.86368
GGB28763_SGB41411,-1.0347,2.2651,0.64781,0.86368
Duncaniella_freteri,0.33673,0.7434,0.65058,0.86368
GGB28870_SGB41546,-0.81961,1.8645,0.66024,0.86368
GGB30466_SGB43544,-0.96396,2.2159,0.66355,0.86368
GGB28399_SGB40980,-1.1156,2.6122,0.66932,0.86368
GGB27872_SGB40306,0.3342,0.78369,0.66978,0.86368
GGB30454_SGB43514,-0.52178,1.2289,0.67114,0.86368
Adlercreutzia_caecimuris,0.25734,0.60748,0.67184,0.86368
GGB27792_SGB40208,0.36194,0.85942,0.67365,0.86368
GGB28881_SGB41561,0.49613,1.1831,0.67496,0.86368
GGB28930_SGB41631,-0.62816,1.5072,0.67684,0.86368
GGB31109_SGB44380,-0.38701,0.93526,0.67902,0.86368
GGB28861_SGB41531,0.48964,1.1896,0.68063,0.86368
GGB28948_SGB41654,0.50697,1.2434,0.68346,0.86368
GGB28898_SGB41580,-1.0119,2.5547,0.69204,0.87019
bacterium_D16_50,-0.90425,2.5854,0.72652,0.90905
GGB28845_SGB41512,-0.53837,1.5852,0.73415,0.91408
Pseudoflavonifractor_sp_60,0.50841,1.5561,0.74387,0.92168
GGB28839_SGB41503,0.40759,1.2788,0.74992,0.92466
GGB30145_SGB43072,-0.26636,0.89442,0.76585,0.9366
GGB28793_SGB41446,0.7451,2.5837,0.77305,0.9366
GGB28779_SGB41432,0.44442,1.5887,0.77968,0.9366
GGB30457_SGB43523,0.182,0.65565,0.78132,0.9366
GGB28798_SGB41451,-0.78951,2.8854,0.78437,0.9366
GGB31108_SGB44379,-0.42334,1.5543,0.78534,0.9366
GGB30466_SGB43540,0.40886,1.5162,0.78742,0.9366
bacterium_0_1xD8_82,-0.35267,1.3185,0.78911,0.9366
GGB30302_SGB43267,0.32356,1.3035,0.80397,0.94753
GGB24149_SGB35953,0.19455,0.79226,0.80602,0.94753
GGB31853_SGB45233,-0.64452,2.6807,0.81,0.94753
GGB28428_SGB41011,-0.40153,1.6996,0.81324,0.94753
GGB28980_SGB41692,-0.29603,1.307,0.82082,0.9517
GGB30448_SGB43504,-0.1444,0.70162,0.83694,0.9517
GGB28869_SGB41543,0.32652,1.5939,0.83769,0.9517
GGB30461_SGB43530,-0.57839,2.8854,0.84113,0.9517
GGB24146_SGB35950,0.13878,0.72133,0.84743,0.9517
GGB24132_SGB35935,-0.16048,0.84583,0.84952,0.9517
GGB29009_SGB41729,-0.27271,1.4439,0.85019,0.9517
GGB30475_SGB63182,-0.21116,1.1343,0.85232,0.9517
GGB28841_SGB41505,-0.30626,1.6809,0.85542,0.9517
GGB30448_SGB43502,-0.21902,1.222,0.85776,0.9517
GGB27929_SGB40368,-0.16723,0.93489,0.85803,0.9517
GGB30302_SGB43266,-0.34252,2.3237,0.88281,0.96633
bacterium_1xD8_48,0.1823,1.2481,0.88387,0.96633
Atopobiaceae_bacterium_FL090493,0.21545,1.4811,0.88434,0.96633
Odoribacter_sp_Z80,-0.085071,0.61373,0.88976,0.96633
GGB24148_SGB35952,-0.11749,0.86644,0.89214,0.96633
GGB27890_SGB40324,-0.16847,1.2817,0.89542,0.96633
GGB28645_SGB41268,0.37041,2.8854,0.89785,0.96633
bacterium_1XD42_54,0.20872,1.7217,0.90351,0.96832
GGB28437_SGB41020,-0.2941,2.8854,0.91882,0.97913
GGB28394_SGB40974,-0.2063,2.0914,0.92142,0.97913
GGB29004_SGB41721,-0.2121,2.4099,0.92987,0.97913
GGB42344_SGB59512,-0.22429,2.8858,0.93805,0.97913
GGB31256_SGB44562,0.20379,2.8854,0.94369,0.97913
bacterium_J10_2018,0.19854,2.8676,0.9448,0.97913
GGB28991_SGB41705,0.15616,2.339,0.94677,0.97913
GGB28956_SGB41665,-0.081845,1.2684,0.94855,0.97913
GGB30303_SGB43268,0.07416,1.1749,0.94967,0.97913
bacterium_1xD42_67,0.11474,1.9122,0.95215,0.97913
Duncaniella_dubosii,-0.035424,0.90467,0.96877,0.98943
GGB28387_SGB40967,0.099935,2.8854,0.97237,0.98943
Lachnospiraceae_bacterium_A2,-0.053621,2.0299,0.97893,0.98943
GGB30296_SGB43260,0.04379,2.2185,0.98425,0.98943
GGB29549_SGB42343,0.049745,2.8854,0.98624,0.98943
GGB28310_SGB40880,-0.014333,0.86056,0.98671,0.98943
GGB28873_SGB41553,-0.038229,2.8854,0.98943,0.98943
