"",log2FC,lfcSE,Pvalues,FDR
GGB27929_SGB40368,1.0765,0.64699,0.096143,0.29422
GGB14014_SGB21441,1.7306,1.0476,0.098549,0.29798
GGB28864_SGB41535,-1.897,1.1523,0.099719,0.29798
GGB30290_SGB43252,3.3168,2.0388,0.10376,0.30647
GGB28861_SGB41531,-1.2239,0.76852,0.11128,0.32064
GGB31853_SGB45233,3.6454,2.3,0.11298,0.32064
GGB30449_SGB43506,-2.8441,1.7954,0.11318,0.32064
GGB28893_SGB41574,-1.4273,0.9021,0.11361,0.32064
GGB28873_SGB41553,-1.7719,1.1388,0.11973,0.32775
GGB30457_SGB43523,-0.73248,0.47164,0.12041,0.32775
Muribaculaceae_bacterium_Isolate_013_NCI,1.123,0.72491,0.12134,0.32775
Streptococcus_danieliae,1.8255,1.1815,0.12233,0.32775
Adlercreutzia_muris,1.2016,0.77821,0.12258,0.32775
GGB27866_SGB40300,0.83339,0.54408,0.12559,0.33229
bacterium_1XD42_54,2.5642,1.7158,0.13505,0.35363
GGB28853_SGB41521,-1.2394,0.83908,0.13967,0.362
GGB28379_SGB40959,2.5497,1.738,0.14237,0.36527
bacterium_D16_50,-2.1037,1.4397,0.14397,0.36569
GGB28310_SGB40880,-1.1544,0.80837,0.15327,0.37919
Acetatifactor_muris,-2.0973,1.4696,0.15355,0.37919
Oscillibacter_sp_1_3,-2.7305,1.9143,0.15376,0.37919
GGB28869_SGB41543,-1.7641,1.2493,0.15791,0.38567
GGB28883_SGB41564,-3.8912,2.7748,0.1608,0.38899
bacterium_D16_63,-1.1093,0.82453,0.17852,0.42777
GGB30475_SGB63182,-0.755,0.56762,0.18348,0.43288
GGB29546_SGB42338,-3.5374,2.6711,0.18539,0.43288
GGB29005_SGB41723,-1.3663,1.0325,0.18577,0.43288
GGB28763_SGB41411,-2.8526,2.1755,0.18978,0.43781
GGB30466_SGB43546,-0.57724,0.44177,0.19133,0.43781
GGB28836_SGB41496,-3.7432,2.8854,0.19453,0.44117
GGB27890_SGB40324,0.80902,0.63261,0.20095,0.44893
GGB28887_SGB41568,-3.4669,2.7141,0.20149,0.44893
GGB28802_SGB41455,-1.8286,1.438,0.2035,0.44947
GGB29003_SGB41719,-2.1618,1.7171,0.20801,0.45548
Neglecta_sp_X4,-1.9432,1.5545,0.21128,0.45575
GGB28870_SGB41549,-3.2491,2.6057,0.21244,0.45575
GGB28924_SGB41621,-1.6796,1.3502,0.21352,0.45575
GGB28437_SGB41020,-3.5575,2.8855,0.21762,0.45932
GGB28828_SGB41484,-2.2886,1.8612,0.21883,0.45932
Adlercreutzia_mucosicola,0.41142,0.3371,0.22228,0.45932
GGB30451_SGB43508,-0.81406,0.66721,0.22243,0.45932
GGB28841_SGB41505,-1.7651,1.4679,0.22918,0.46944
GGB29531_SGB42317,0.43262,0.36167,0.23162,0.47065
bacterium_1xD42_67,-1.2863,1.0904,0.23811,0.48
GGB28793_SGB41446,1.4615,1.2618,0.24675,0.49035
GGB28852_SGB41519,-0.7945,0.68683,0.24737,0.49035
GGB28766_SGB41416,-1.7812,1.5452,0.24904,0.49035
Turicibacter_sp_TS3,1.8205,1.6226,0.26189,0.51169
Lachnospiraceae_bacterium_MD329,3.1924,2.8854,0.26855,0.51817
GGB28416_SGB40998,3.069,2.7814,0.26985,0.51817
bacterium_1xD42_62,0.77478,0.70645,0.27276,0.51817
bacterium_1XD42_76,-0.88107,0.80629,0.27451,0.51817
GGB28846_SGB41513,-0.76872,0.70694,0.27686,0.51817
GGB28956_SGB41665,0.76112,0.70079,0.27744,0.51817
GGB28845_SGB41512,1.8631,1.7316,0.28195,0.52273
GGB28946_SGB41652,-2.426,2.3003,0.29157,0.53544
Lachnospiraceae_bacterium_10_1,-0.92863,0.88503,0.29406,0.53544
Lachnospiraceae_bacterium_MD308,-1.2369,1.1815,0.29513,0.53544
GGB30461_SGB43531,-1.5979,1.5398,0.29941,0.53937
Pseudoflavonifractor_sp_60,0.66758,0.65728,0.30978,0.55412
GGB31109_SGB44380,0.67518,0.67484,0.31707,0.56191
GGB1503_SGB2082,-1.7444,1.7518,0.31936,0.56191
GGB28898_SGB41580,-1.5404,1.5515,0.32078,0.56191
GGB30461_SGB63209,-0.43797,0.45095,0.33144,0.57662
GGB28949_SGB41656,0.88052,0.91524,0.33601,0.5806
GGB30408_SGB43438,-0.53872,0.56878,0.34356,0.58722
bacterium_1XD8_76,-1.1595,1.2265,0.34447,0.58722
GGB28411_SGB40993,2.1316,2.2753,0.34884,0.58747
GGB28419_SGB41002,-1.8093,1.9454,0.35235,0.58747
Schaedlerella_arabinosiphila,-2.1779,2.3482,0.35369,0.58747
GGB28949_SGB41655,-1.6536,1.8044,0.35944,0.58747
GGB30296_SGB43260,-0.96818,1.0573,0.35982,0.58747
GGB28930_SGB41631,-0.44721,0.48927,0.3607,0.58747
bacterium_1XD42_1,-0.89298,0.97718,0.36081,0.58747
GGB30454_SGB43514,0.44348,0.49616,0.37142,0.59825
Lachnospiraceae_bacterium_WCA_9_b2,-2.0045,2.246,0.37214,0.59825
GGB28911_SGB41605,-1.7657,2.0038,0.37822,0.60147
GGB31835_SGB45211,1.9336,2.2012,0.3797,0.60147
Firmicutes_bacterium_ASF500,-0.75061,0.85725,0.38125,0.60147
GGB29622_SGB42426,-0.83652,0.97535,0.39108,0.61199
GGB31701_SGB45057,0.98698,1.1548,0.39274,0.61199
GGB30461_SGB43527,-2.1929,2.5916,0.39747,0.61559
GGB28991_SGB41705,-1.4573,1.7449,0.40362,0.61748
GGB27792_SGB40208,0.50003,0.60127,0.40562,0.61748
GGB31108_SGB44379,0.72324,0.87472,0.40834,0.61748
GGB30286_SGB43248,-0.25494,0.30838,0.40841,0.61748
GGB30448_SGB43503,1.5262,1.864,0.41291,0.62058
GGB28399_SGB40980,-1.1415,1.4174,0.42064,0.62493
Ligilactobacillus_murinus,0.7627,0.94992,0.42202,0.62493
bacterium_1xD8_48,-0.90701,1.1325,0.42318,0.62493
bacterium_D16_29,-0.48518,0.62578,0.43814,0.63663
GGB31851_SGB45231,-2.23,2.8854,0.43961,0.63663
GGB28839_SGB41503,1.5998,2.0707,0.43977,0.63663
GGB30302_SGB43267,0.46557,0.60442,0.44113,0.63663
GGB30448_SGB43502,-0.64993,0.88274,0.46157,0.66236
bacterium_J10_2018,2.0888,2.8854,0.46911,0.66807
GGB42343_SGB59511,-0.49671,0.69012,0.47168,0.66807
GGB28960_SGB41669,0.69168,0.96833,0.47504,0.66807
GGB30466_SGB43544,1.1726,1.6454,0.47607,0.66807
GGB30300_SGB43264,-1.5598,2.2119,0.48069,0.67085
GGB28904_SGB41596,-0.96244,1.3754,0.48408,0.67189
GGB28383_SGB40963,-1.9386,2.8854,0.50168,0.69254
GGB28645_SGB41268,1.51,2.2794,0.50769,0.69704
GGB30459_SGB43525,0.44808,0.68801,0.51487,0.70257
Roseburia_sp_1XD42_69,-1.1977,1.8494,0.51725,0.70257
Dorea_sp_5_2,-0.76072,1.2042,0.52757,0.70951
bacterium_D16_76,-0.54042,0.85626,0.52794,0.70951
GGB27480_SGB39776,-1.1388,1.8494,0.53804,0.71538
GGB28980_SGB41692,-0.62289,1.0217,0.5421,0.71538
GGB28387_SGB40967,-1.4141,2.3218,0.54248,0.71538
GGB28926_SGB41623,-0.39545,0.65104,0.54357,0.71538
GGB42619_SGB59815,-1.1801,2.0028,0.5557,0.72481
GGB28422_SGB41005,-1.1629,1.9773,0.55645,0.72481
GGB30048_SGB42949,0.52935,0.931,0.56964,0.73458
GGB28950_SGB41657,1.184,2.0829,0.56973,0.73458
GGB28404_SGB40986,-0.7765,1.4233,0.58537,0.74903
GGB28769_SGB41421,-0.46834,0.86819,0.58958,0.74903
GGB27914_SGB40352,0.63319,1.1744,0.58979,0.74903
GGB30142_SGB43067,0.44156,0.86161,0.60831,0.76648
GGB28787_SGB41440,0.88507,1.7331,0.60956,0.76648
GGB31850_SGB45228,-1.0315,2.0841,0.62064,0.77657
GGB28818_SGB41473,-0.7885,1.6291,0.62838,0.78038
GGB28398_SGB40979,-1.1517,2.4157,0.63354,0.78038
GGB31256_SGB44562,-0.98215,2.0626,0.63395,0.78038
GGB31440_SGB44770,0.78368,1.6665,0.63817,0.78038
GGB24102_SGB35895,0.3742,0.79782,0.63905,0.78038
Lachnospiraceae_bacterium_28_4,-0.52197,1.1412,0.6474,0.78453
GGB28394_SGB40974,1.0212,2.2411,0.64863,0.78453
GGB30297_SGB43261,0.53472,1.2084,0.65814,0.79226
Acutalibacter_sp_1XD8_36,0.52691,1.2198,0.66576,0.79765
GGB28881_SGB41561,0.21339,0.50973,0.67549,0.80551
GGB30091_SGB43003,-0.71531,1.7666,0.68555,0.81369
GGB30147_SGB43074,-0.4605,1.1626,0.69204,0.81757
GGB28968_SGB41679,-0.15214,0.39067,0.69697,0.8191
GGB28786_SGB41439,-0.45678,1.1963,0.70259,0.8191
GGB28988_SGB41701,1.0934,2.8678,0.70301,0.8191
GGB28621_SGB41239,0.27524,0.73943,0.70972,0.82314
GGB30445_SGB43494,-0.96143,2.7332,0.72502,0.83707
GGB31312_SGB44628,-0.34953,1.0265,0.73349,0.84301
GGB31438_SGB44768,0.15611,0.50757,0.75842,0.86774
Lachnospiraceae_bacterium_MD335,-0.70241,2.3458,0.76461,0.86896
GGB30466_SGB43540,-0.57761,1.9436,0.76633,0.86896
GGB28386_SGB40966,0.43203,1.5236,0.77675,0.87529
GGB28766_SGB41417,0.14816,0.52749,0.7788,0.87529
GGB28798_SGB41451,-0.58604,2.61,0.82234,0.91597
GGB28945_SGB41650,0.24311,1.0944,0.82421,0.91597
GGB29009_SGB41729,-0.30227,1.3777,0.82634,0.91597
GGB28959_SGB41668,-0.17607,0.81723,0.82942,0.91597
Lachnospiraceae_bacterium_A4,-0.36285,1.8739,0.84646,0.92485
GGB28948_SGB41654,-0.083431,0.43615,0.8483,0.92485
GGB28901_SGB41592,-0.45939,2.403,0.84839,0.92485
GGB30301_SGB43265,-0.12253,0.70884,0.86276,0.9365
GGB28879_SGB41559,-0.2623,1.6149,0.87097,0.94118
GGB28330_SGB40904,0.28318,1.7927,0.87448,0.94118
GGB30302_SGB43266,0.30984,2.2741,0.89162,0.94702
GGB25052_SGB36974,-0.12404,0.94174,0.89521,0.94702
GGB30413_SGB43452,0.27632,2.1037,0.8955,0.94702
GGB28916_SGB41612,-0.3783,2.8854,0.89569,0.94702
GGB29004_SGB41721,0.25541,2.0033,0.89855,0.94702
GGB30461_SGB43530,-0.18901,1.947,0.92266,0.96842
GGB28248_SGB40791,-0.062299,0.77289,0.93576,0.97812
GGB31439_SGB44769,0.052828,0.71426,0.94104,0.97907
GGB27778_SGB40192,-0.03617,0.56293,0.94877,0.97907
GGB42344_SGB59512,0.16492,2.6846,0.95101,0.97907
GGB28765_SGB41415,-0.042742,0.88677,0.96156,0.97907
GGB28849_SGB41516,0.030134,0.69397,0.96536,0.97907
GGB31851_SGB45230,0.040202,1.04,0.96917,0.97907
GGB31822_SGB45198,-0.064245,1.7691,0.97103,0.97907
GGB30444_SGB43493,0.084239,2.4365,0.97242,0.97907
bacterium_1xD8_6,0.038925,1.2962,0.97604,0.97907
GGB29002_SGB41718,-0.014441,0.51138,0.97747,0.97907
GGB28963_SGB41672,0.022627,0.86234,0.97907,0.97907
