"",log2FC,lfcSE,Pvalues,FDR
GGB28766_SGB41416,-4.143,1.8358,0.024021,0.10228
GGB28828_SGB41484,-2.3988,1.0798,0.02632,0.11029
GGB28930_SGB41631,4.5307,2.0561,0.027556,0.11367
GGB28831_SGB41487,-1.9707,0.89759,0.028123,0.11422
GGB30461_SGB43531,6.3025,2.8856,0.028952,0.11484
GGB30142_SGB43067,1.7509,0.80262,0.029145,0.11484
GGB29622_SGB42426,-3.6349,1.6715,0.029652,0.11512
GGB28379_SGB40959,3.5614,1.6684,0.032796,0.12548
GGB28852_SGB41519,2.1513,1.0116,0.03346,0.12619
GGB27929_SGB40368,-1.2271,0.58861,0.03709,0.13791
GGB28946_SGB41652,-3.4959,1.6912,0.038721,0.14198
GGB24148_SGB35952,1.2514,0.6099,0.040181,0.14531
Bacteroides_acidifaciens,1.2024,0.58858,0.041063,0.14649
GGB30286_SGB43248,1.2571,0.61809,0.041968,0.14773
GGB28949_SGB41656,1.7355,0.87817,0.048131,0.16719
bacterium_1xD8_48,1.6743,0.85038,0.048961,0.16787
GGB28846_SGB41513,-1.1633,0.59752,0.051549,0.17447
GGB30302_SGB43267,1.3317,0.6887,0.053155,0.17723
GGB30466_SGB43540,4.3042,2.2311,0.053707,0.17723
GGB28911_SGB41605,-5.5271,2.8855,0.055429,0.18004
bacterium_1xD42_62,3.6815,1.9258,0.05592,0.18004
GGB28894_SGB41575,-1.9589,1.0502,0.062128,0.19761
GGB28409_SGB40991,1.9623,1.0717,0.067084,0.21084
GGB30473_SGB43557,0.63969,0.35875,0.074565,0.23159
Muribaculum_intestinale,1.3342,0.77101,0.083551,0.25164
GGB28787_SGB41440,-3.9755,2.2986,0.083717,0.25164
GGB14014_SGB21441,2.1476,1.243,0.08405,0.25164
GGB28411_SGB40993,-1.52,0.88413,0.085586,0.25164
Turicimonas_muris,3.1035,1.8064,0.085787,0.25164
GGB28853_SGB41521,-1.8282,1.0722,0.088191,0.25585
Lachnospiraceae_bacterium_MD308,1.1598,0.68924,0.092437,0.26428
GGB29531_SGB42317,0.8552,0.50927,0.0931,0.26428
Lactobacillus_taiwanensis,-1.1927,0.72072,0.097957,0.27511
GGB33432_SGB65123,4.7416,2.8854,0.10032,0.27668
GGB30461_SGB43530,-4.3645,2.6582,0.10061,0.27668
GGB30091_SGB43003,0.99182,0.60657,0.10202,0.27767
GGB30413_SGB43452,4.2326,2.6068,0.10445,0.28136
bacterium_J10_2018,4.6512,2.8854,0.10696,0.28243
Lachnospiraceae_bacterium_A2,2.6027,1.6147,0.10698,0.28243
Lachnospiraceae_bacterium_28_4,-3.9395,2.4552,0.10858,0.28382
GGB28784_SGB41437,-3.7218,2.3512,0.11343,0.29168
GGB28864_SGB41535,-2.632,1.6644,0.1138,0.29168
GGB24146_SGB35950,1.0089,0.64011,0.11498,0.29188
GGB28792_SGB41445,-4.4864,2.8855,0.11999,0.29847
Firmicutes_bacterium_ASF500,2.3058,1.489,0.12149,0.29847
Limosilactobacillus_reuteri,-1.1871,0.76744,0.1219,0.29847
Dorea_sp_5_2,-2.3992,1.5519,0.1221,0.29847
GGB31184_SGB44478,1.4178,0.93507,0.12946,0.31356
GGB29005_SGB41723,1.2083,0.8043,0.13302,0.31864
GGB28881_SGB41561,-1.5986,1.0667,0.13397,0.31864
GGB28926_SGB41623,1.1132,0.74619,0.13573,0.31994
GGB47127_SGB65054,2.7373,1.847,0.13833,0.32318
Adlercreutzia_caecimuris,-0.70638,0.48014,0.14124,0.32557
Oscillibacter_sp_1_3,-2.7759,1.8896,0.14182,0.32557
GGB28782_SGB41435,-3.388,2.3549,0.15024,0.34019
GGB31838_SGB45216,4.1459,2.8854,0.15076,0.34019
Clostridium_cocleatum,2.1003,1.4753,0.15454,0.34575
GGB28766_SGB41417,-0.81882,0.58639,0.16261,0.35937
GGB30448_SGB43504,-1.1599,0.83214,0.16335,0.35937
bacterium_1XD8_76,3.5419,2.5499,0.16482,0.35961
GGB30459_SGB43525,2.8513,2.0756,0.16953,0.36685
GGB28870_SGB41546,-2.5497,1.8829,0.17568,0.37708
GGB27890_SGB40324,0.95478,0.72177,0.18589,0.39577
GGB29546_SGB42338,3.5461,2.7391,0.19546,0.41281
Pseudoflavonifractor_sp_60,1.4285,1.1272,0.20506,0.42964
GGB28955_SGB41663,1.2065,0.95647,0.20717,0.43066
Muribaculaceae_bacterium,0.76875,0.61316,0.20993,0.43298
GGB28310_SGB40880,0.92983,0.75647,0.21901,0.4482
bacterium_1xD42_67,2.645,2.1665,0.22213,0.44921
GGB31701_SGB45057,1.5205,1.2475,0.2229,0.44921
GGB30466_SGB43541,-0.87236,0.71921,0.22516,0.45031
GGB31851_SGB45231,-2.9835,2.4692,0.22694,0.45046
GGB28841_SGB41505,2.3506,1.9841,0.23614,0.46522
GGB28849_SGB41516,-0.89472,0.76305,0.24098,0.469
GGB27778_SGB40192,-0.68463,0.58466,0.24161,0.469
GGB28963_SGB41672,-1.9731,1.6957,0.24459,0.47133
bacterium_0_1xD8_82,0.78599,0.68264,0.24957,0.47743
GGB28793_SGB41446,-2.2678,2.0286,0.26359,0.49672
GGB27866_SGB40300,-0.59295,0.53193,0.26497,0.49672
GGB28901_SGB41592,-3.1093,2.7912,0.2653,0.49672
GGB28887_SGB41568,-2.5368,2.2871,0.26736,0.49707
GGB28839_SGB41503,-1.4302,1.2947,0.26931,0.49718
Adlercreutzia_mucosicola,-0.64491,0.6025,0.28444,0.52148
Acutalibacter_muris,-1.0585,1.0086,0.29399,0.52866
GGB28883_SGB41564,-2.5904,2.4697,0.29424,0.52866
GGB28330_SGB40904,2.2932,2.1869,0.29437,0.52866
GGB31851_SGB45230,0.78875,0.76341,0.30152,0.53784
GGB28645_SGB41268,-1.458,1.445,0.31296,0.55416
Lachnospiraceae_bacterium,-0.41874,0.41684,0.3151,0.55416
GGB30408_SGB43438,-0.75065,0.75204,0.3182,0.55416
GGB28996_SGB41712,-1.827,1.8336,0.31906,0.55416
Lachnospiraceae_bacterium_WCA_9_b2,-2.2735,2.2941,0.32169,0.55507
GGB30466_SGB43544,2.8153,2.8854,0.32922,0.56437
bacterium_D16_29,0.93642,0.96528,0.332,0.56546
GGB28904_SGB41596,1.1846,1.2274,0.33449,0.56606
GGB31109_SGB44380,0.7797,0.82416,0.34412,0.57865
bacterium_D16_50,-2.6341,2.8854,0.36129,0.60368
GGB30451_SGB43508,-0.7522,0.83057,0.36512,0.60624
GGB27480_SGB39776,-0.93998,1.068,0.3788,0.62303
GGB30295_SGB43259,-1.0694,1.2277,0.38375,0.62303
GGB28948_SGB41654,-0.69071,0.79797,0.38672,0.62303
GGB28386_SGB40966,-0.97218,1.1273,0.38847,0.62303
Acetatifactor_muris,-1.9685,2.2838,0.38872,0.62303
GGB31438_SGB44768,0.52046,0.60468,0.38939,0.62303
GGB30145_SGB43072,-0.71898,0.85879,0.40248,0.64008
GGB30449_SGB43506,-2.1584,2.6379,0.41322,0.64343
GGB31256_SGB44562,1.8818,2.2998,0.41322,0.64343
Duncaniella_freteri,-0.53389,0.6529,0.41352,0.64343
GGB28433_SGB41016,-1.1337,1.3889,0.41433,0.64343
GGB28392_SGB40972,-1.885,2.3438,0.42125,0.65035
GGB28398_SGB40979,-1.2803,1.6347,0.43349,0.66536
GGB1503_SGB2082,-1.0606,1.3652,0.43722,0.66721
GGB28791_SGB41444,-1.0604,1.3754,0.44071,0.66867
GGB29004_SGB41721,-1.6948,2.2358,0.44843,0.67526
GGB28980_SGB41692,1.345,1.7909,0.45263,0.67526
Lachnospiraceae_bacterium_10_1,0.67834,0.9034,0.45273,0.67526
GGB31108_SGB44379,1.2663,1.7012,0.45665,0.6771
GGB30302_SGB43266,1.7864,2.413,0.4591,0.6771
GGB31440_SGB44770,0.96022,1.3413,0.47407,0.69531
bacterium_D16_76,0.87974,1.2551,0.48334,0.70499
Adlercreutzia_muris,0.42087,0.60689,0.488,0.70788
GGB28422_SGB41005,-0.87057,1.277,0.49541,0.71469
GGB31850_SGB45228,1.3507,2.0194,0.50357,0.71668
GGB28956_SGB41665,0.43776,0.65975,0.50699,0.71668
GGB28456_SGB41039,-1.9007,2.8854,0.51007,0.71668
GGB29001_SGB41717,-0.48118,0.73232,0.51114,0.71668
GGB30301_SGB43265,0.43594,0.66502,0.51213,0.71668
Schaedlerella_arabinosiphila,-1.3789,2.1082,0.51307,0.71668
GGB28786_SGB41439,-1.77,2.7601,0.52135,0.7244
GGB28950_SGB41657,-1.0706,1.7139,0.53218,0.73558
GGB28869_SGB41543,-1.6335,2.6976,0.54482,0.74688
GGB30461_SGB63209,0.41463,0.68689,0.54609,0.74688
GGB28949_SGB41655,-0.83407,1.3913,0.54885,0.74688
Duncaniella_dubosii,0.38035,0.64463,0.55517,0.75162
GGB28945_SGB41650,0.91891,1.5711,0.55862,0.75243
Enterorhabdus_sp_P55,0.26043,0.47439,0.58302,0.78131
GGB28960_SGB41669,0.71303,1.3211,0.58939,0.78586
Roseburia_sp_1XD42_69,-0.9538,1.798,0.59578,0.79038
Emergencia_sp_1XD21_10,0.29496,0.56788,0.60349,0.79449
GGB42343_SGB59511,0.58547,1.1316,0.6049,0.79449
GGB27876_SGB40310,-0.32449,0.63707,0.61051,0.7979
GGB28934_SGB41635,-0.57716,1.1598,0.61872,0.80465
GGB28959_SGB41668,-1.1501,2.3501,0.62456,0.8057
Lachnospiraceae_bacterium_MD329,1.3839,2.8365,0.62564,0.8057
bacterium_1XD42_76,-0.77293,1.6025,0.62957,0.80683
GGB3171_SGB4185,-1.3681,2.8854,0.6354,0.80744
GGB30297_SGB43261,-0.78276,1.6547,0.63617,0.80744
bacterium_D16_63,-0.38958,0.84794,0.64592,0.81585
GGB28772_SGB41425,1.0432,2.2946,0.64938,0.81585
GGB28387_SGB40967,0.9057,2.0193,0.65377,0.81585
GGB28968_SGB41679,0.30268,0.68299,0.65764,0.81585
GGB42586_SGB59781,-0.54675,1.236,0.65824,0.81585
GGB28990_SGB41704,1.1655,2.841,0.68162,0.84087
GGB27914_SGB40352,0.22341,0.55807,0.68892,0.84593
GGB28924_SGB41621,-0.23697,0.61161,0.69842,0.85362
GGB28437_SGB41020,1.1044,2.8854,0.70191,0.85394
GGB42344_SGB59512,-0.63306,1.6919,0.70828,0.85773
GGB29009_SGB41729,-0.21175,0.64462,0.74254,0.89489
GGB28394_SGB40974,0.49856,1.5464,0.74715,0.89489
GGB28861_SGB41531,0.22297,0.69724,0.74913,0.89489
Parasutterella_sp_NM82_D38,0.19443,0.65723,0.76736,0.91253
Acutalibacter_sp_1XD8_36,0.59538,2.0532,0.77184,0.91375
GGB30445_SGB43494,-0.70662,2.7079,0.79413,0.93594
GGB28419_SGB41002,-0.52759,2.1361,0.80492,0.94444
GGB31312_SGB44628,0.26673,1.1763,0.82062,0.95038
GGB28402_SGB40984,-0.64701,2.8854,0.82257,0.95038
bacterium_1XD42_54,-0.2301,1.063,0.82863,0.95038
GGB28818_SGB41473,0.1573,0.72925,0.82922,0.95038
GGB30457_SGB43523,-0.1602,0.74621,0.83002,0.95038
GGB28798_SGB41451,0.29439,1.4188,0.83563,0.95038
GGB27782_SGB40196,-0.12427,0.60734,0.83788,0.95038
GGB30296_SGB43260,-0.32141,1.5798,0.83878,0.95038
GGB29002_SGB41718,0.098761,0.56149,0.86038,0.96767
Streptococcus_danieliae,-0.18463,1.0805,0.86432,0.96767
GGB42619_SGB59815,-0.46482,2.7938,0.86786,0.96767
GGB28802_SGB41455,-0.22608,1.3909,0.87088,0.96767
GGB30448_SGB43502,0.29887,1.8604,0.87237,0.96767
GGB30444_SGB43493,0.36813,2.3885,0.87751,0.9693
GGB28416_SGB40998,0.25302,1.8842,0.89318,0.9825
GGB27861_SGB40295,-0.075984,0.6251,0.90325,0.98359
GGB30300_SGB43264,-0.3451,2.8855,0.9048,0.98359
GGB30448_SGB43503,0.21648,1.8206,0.90535,0.98359
GGB28399_SGB40980,-0.2102,2.055,0.91853,0.99382
GGB30048_SGB42949,0.072811,0.77081,0.92474,0.99395
GGB29549_SGB42343,-0.24962,2.8854,0.93106,0.99395
Paramuribaculum_intestinale,-0.055218,0.67815,0.9351,0.99395
GGB28991_SGB41705,0.21261,2.8854,0.94126,0.99395
GGB28621_SGB41239,0.035392,0.50765,0.94442,0.99395
GGB30475_SGB63182,-0.052687,0.7877,0.94667,0.99395
bacterium_1XD42_1,-0.047859,0.77524,0.95078,0.99395
bacterium_1xD8_6,0.17191,2.8854,0.95249,0.99395
GGB28769_SGB41421,0.03999,0.67178,0.95253,0.99395
GGB27872_SGB40306,0.035829,0.7171,0.96015,0.99402
GGB27893_SGB40327,-0.02687,0.56917,0.96235,0.99402
bacterium_1XD21_13,0.027696,0.61185,0.96389,0.99402
GGB24149_SGB35953,-0.021918,0.71453,0.97553,0.99738
GGB31822_SGB45198,0.077846,2.6058,0.97617,0.99738
Lachnospiraceae_bacterium_MD335,-0.059082,2.8854,0.98366,0.99738
GGB28779_SGB41432,-0.012232,0.80565,0.98789,0.99738
GGB28916_SGB41612,-0.025454,2.8854,0.99296,0.99738
GGB30466_SGB43546,-0.0046623,0.78978,0.99529,0.99738
Lachnospiraceae_bacterium_A4,-0.0081126,1.472,0.9956,0.99738
GGB27885_SGB40319,-0.0023846,0.72588,0.99738,0.99738
